# Logfile created on 2026-09-07 16:07:20 +0200 by logger.rb/v1.5.3
2026-09-07 16:07:20 +0200: Memory Usage (456520K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:07:20 +0200: Memory Usage (456520K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:07:20 +0200: Memory Usage (457504K) : Loading database to memory is complete.
2026-09-07 16:07:20 +0200: Memory Usage (457504K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_topvia1.lyrdb
2026-09-07 16:07:20 +0200: Memory Usage (457696K) : Evaluate switches.
2026-09-07 16:07:20 +0200: Memory Usage (457696K) : tables selected: topvia1
2026-09-07 16:07:20 +0200: Memory Usage (457696K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:07:20 +0200: Memory Usage (457696K) : deep mode is enabled.
2026-09-07 16:07:20 +0200: Memory Usage (457696K) : FEOL enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (457696K) : BEOL enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (457696K) : OFFGRID enabled: true
2026-09-07 16:07:20 +0200: Memory Usage (457696K) : ANGLE enabled: true
2026-09-07 16:07:20 +0200: Memory Usage (457696K) : PIN enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (457696K) : FORBIDDEN enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (457696K) : RECOMMENDED enabled: true
2026-09-07 16:07:20 +0200: Memory Usage (457696K) : PreCheck DRC enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (457696K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:07:20 +0200: Memory Usage (457696K) : Read in polygons from layers.
2026-09-07 16:07:20 +0200: Memory Usage (458608K) : activ_drw has 643 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458608K) : activ_pin has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458608K) : activ_mask has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458608K) : activ_filler has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458608K) : activ_nofill has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458608K) : activ_opc has 0 polygons
