# Logfile created on 2026-09-07 16:07:15 +0200 by logger.rb/v1.5.3
2026-09-07 16:07:15 +0200: Memory Usage (456780K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:07:15 +0200: Memory Usage (456780K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:07:15 +0200: Memory Usage (458096K) : Loading database to memory is complete.
2026-09-07 16:07:15 +0200: Memory Usage (458096K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_topmetal2.lyrdb
2026-09-07 16:07:15 +0200: Memory Usage (458096K) : Evaluate switches.
2026-09-07 16:07:15 +0200: Memory Usage (458096K) : tables selected: topmetal2
2026-09-07 16:07:15 +0200: Memory Usage (458096K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:07:15 +0200: Memory Usage (458096K) : deep mode is enabled.
2026-09-07 16:07:15 +0200: Memory Usage (458096K) : FEOL enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458096K) : BEOL enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458096K) : OFFGRID enabled: true
2026-09-07 16:07:15 +0200: Memory Usage (458096K) : ANGLE enabled: true
2026-09-07 16:07:15 +0200: Memory Usage (458096K) : PIN enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458096K) : FORBIDDEN enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458096K) : RECOMMENDED enabled: true
2026-09-07 16:07:15 +0200: Memory Usage (458096K) : PreCheck DRC enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458096K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:07:15 +0200: Memory Usage (458096K) : Read in polygons from layers.
2026-09-07 16:07:15 +0200: Memory Usage (459000K) : activ_drw has 643 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459000K) : activ_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459000K) : activ_mask has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459000K) : activ_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459000K) : activ_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459000K) : activ_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459000K) : activ_iopc has 0 polygons
