# Logfile created on 2026-09-07 16:07:21 +0200 by logger.rb/v1.5.3
2026-09-07 16:07:21 +0200: Memory Usage (455636K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:07:21 +0200: Memory Usage (455636K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:07:21 +0200: Memory Usage (456568K) : Loading database to memory is complete.
2026-09-07 16:07:21 +0200: Memory Usage (456568K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_topmetal1filler.lyrdb
2026-09-07 16:07:21 +0200: Memory Usage (456568K) : Evaluate switches.
2026-09-07 16:07:21 +0200: Memory Usage (456568K) : tables selected: topmetal1filler
2026-09-07 16:07:21 +0200: Memory Usage (456568K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:07:21 +0200: Memory Usage (456568K) : deep mode is enabled.
2026-09-07 16:07:21 +0200: Memory Usage (456568K) : FEOL enabled: false
2026-09-07 16:07:21 +0200: Memory Usage (456568K) : BEOL enabled: false
2026-09-07 16:07:21 +0200: Memory Usage (456568K) : OFFGRID enabled: true
2026-09-07 16:07:21 +0200: Memory Usage (456568K) : ANGLE enabled: true
2026-09-07 16:07:21 +0200: Memory Usage (456568K) : PIN enabled: false
2026-09-07 16:07:21 +0200: Memory Usage (456568K) : FORBIDDEN enabled: false
2026-09-07 16:07:21 +0200: Memory Usage (456568K) : RECOMMENDED enabled: true
2026-09-07 16:07:21 +0200: Memory Usage (456568K) : PreCheck DRC enabled: false
2026-09-07 16:07:21 +0200: Memory Usage (456568K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:07:21 +0200: Memory Usage (456568K) : Read in polygons from layers.
2026-09-07 16:07:21 +0200: Memory Usage (457548K) : activ_drw has 643 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457548K) : activ_pin has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457548K) : activ_mask has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457548K) : activ_filler has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457548K) : activ_nofill has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457548K) : activ_opc has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457548K) : activ_iopc has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457548K) : activ_noqrc has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457548K) : biwind_drw has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457548K) : biwind_opc has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457548K) : pemwind_drw has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457548K) : gatpoly_drw has 513 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457548K) : gatpoly_pin has 91 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457548K) : gatpoly_filler has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457548K) : gatpoly_nofill has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457548K) : gatpoly_opc has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457708K) : gatpoly_iopc has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457708K) : gatpoly_noqrc has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457900K) : cont_drw has 1631 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457900K) : cont_opc has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (457900K) : nsd_drw has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (458060K) : nsd_block has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (458060K) : metal1_drw has 1169 polygons
2026-09-07 16:07:21 +0200: Memory Usage (458060K) : metal1_pin has 182 polygons
2026-09-07 16:07:21 +0200: Memory Usage (458220K) : metal1_mask has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (458220K) : metal1_filler has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (458220K) : metal1_nofill has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (458380K) : metal1_slit has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (458600K) : metal1_text has 13 polygons
2026-09-07 16:07:21 +0200: Memory Usage (458760K) : metal1_opc has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (458760K) : metal1_noqrc has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (458760K) : metal1_res has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (458920K) : metal1_iprobe has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (458920K) : metal1_diffprb has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (459080K) : passiv_drw has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (459080K) : passiv_pin has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (459080K) : passiv_sbump has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (459080K) : passiv_pillar has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (459080K) : passiv_pdl has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (459080K) : metal2_drw has 121 polygons
2026-09-07 16:07:21 +0200: Memory Usage (459080K) : metal2_pin has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (459080K) : metal2_mask has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (459080K) : metal2_filler has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (459240K) : metal2_nofill has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (459240K) : metal2_slit has 0 polygons
2026-09-07 16:07:21 +0200: Memory Usage (459240K) : metal2_text has 11 polygons
