code,f_hz,idd_a,vbp_v,vbn_v,nrise,vout_avg
0,1256802.4432239498,7.59654e-06,0.893772,0.218769,2,0.542635
1,2579580.044368775,1.30812e-05,0.869253,0.241842,2,0.561333
2,3927884.0488628806,3.35944e-05,0.854009,0.256049,2,0.578449
4,6667666.81668917,2.21469e-05,0.833366,0.275035,9,0.584039
8,12235409.274440225,3.46963e-05,0.806766,0.298977,9,0.584344
16,23514887.863378502,6.04047e-05,0.773019,0.328464,9,0.585929
32,46035216.94095983,0.000119366,0.730029,0.364742,9,0.58665
64,88829669.10948262,0.000224332,0.674915,0.409594,9,0.588732
128,161453077.69929358,0.000387109,0.604542,0.464859,9,0.591202
192,219238147.4376546,0.000536763,0.555324,0.502454,9,0.592802
255,265516096.91337427,0.000671985,0.517258,0.53101,9,0.595061
