 code     f_MHz   Idd_uA    vbp    vbn edges  vout
    0     1.257      7.6  0.894  0.219     2  0.54
    1     2.580     13.1  0.869  0.242     2  0.56
    2     3.928     33.6  0.854  0.256     2  0.58
    4     6.668     22.1  0.833  0.275     9  0.58
    8    12.235     34.7  0.807  0.299     9  0.58
   16    23.515     60.4  0.773  0.328     9  0.59
   32    46.035    119.4  0.730  0.365     9  0.59
   64    88.830    224.3  0.675  0.410     9  0.59
  128   161.453    387.1  0.605  0.465     9  0.59
  192   219.238    536.8  0.555  0.502     9  0.59
  255   265.516    672.0  0.517  0.531     9  0.60
