code,f_hz,idd_a,vbp_v,vbn_v,nrise,vout_avg
0,1850857.872623961,8.58753e-06,0.880767,0.231034,2,0.628275
1,3804017.041996349,3.33327e-05,0.855203,0.254941,2,0.605925
2,5796093.43302614,1.70687e-05,0.839024,0.269863,2,0.582554
4,9842277.503014198,2.27662e-05,0.816742,0.290071,9,0.574866
8,18055022.681622244,3.64253e-05,0.787449,0.315973,9,0.587214
16,34600579.55970765,6.49663e-05,0.749578,0.348406,9,0.586272
32,66956812.85570797,0.0001354,0.700699,0.388812,9,0.587327
64,125195618.15336476,0.000222838,0.637788,0.438993,9,0.588559
128,215924426.4507427,0.000378773,0.558074,0.500374,9,0.592731
192,282585658.7778163,0.000515989,0.503208,0.541441,9,0.59548
255,332502078.1379874,0.000635975,0.461491,0.57206,9,0.596926
