code,f_hz,idd_a,vbp_v,vbn_v,nrise,vout_avg
0,1850857.872623961,8.58753e-06,0.880767,0.231034,2,0.628275
1,1953926.4151312069,1.1546e-05,0.878913,0.232777,2,0.566923
2,0.0,,,,0,
4,5047191.23807601,2.50728e-05,0.844465,0.264867,2,0.616692
8,18055022.681622244,3.64253e-05,0.787449,0.315973,9,0.587214
16,34600579.55970765,6.49663e-05,0.749578,0.348406,9,0.586272
32,35026269.70227671,0.000109647,0.748775,0.349082,9,0.583675
64,68581225.88941279,0.000223132,0.698631,0.39049,9,0.58766
128,128617363.34405142,0.000391593,0.634524,0.441551,9,0.589513
192,178850883.07623538,0.000548028,0.589368,0.476534,9,0.590835
255,220628792.05736393,0.000692239,0.554152,0.50334,9,0.593188
