 code     f_MHz   Idd_uA    vbp    vbn edges  vout
    0     1.851      8.6  0.881  0.231     2  0.63
    1     1.954     11.5  0.879  0.233     2  0.57
    2     0.000      0.0    n/a    n/a     0    n/a
    4     5.047     25.1  0.844  0.265     2  0.62
    8    18.055     36.4  0.787  0.316     9  0.59
   16    34.601     65.0  0.750  0.348     9  0.59
   32    35.026    109.6  0.749  0.349     9  0.58
   64    68.581    223.1  0.699  0.390     9  0.59
  128   128.617    391.6  0.635  0.442     9  0.59
  192   178.851    548.0  0.589  0.477     9  0.59
  255   220.629    692.2  0.554  0.503     9  0.59
