case,code,f MHz,shift ppm vs quiet,period jitter ps rms,25-period mean jitter ps,max-min period ps,clk_out min V,edges,note
bounce_mvpp30_code16,16,36.594488623856584,-151.89699670281772,32.28137861473098,1.1185934192096996,105.21284922767715,-0.016924,179,
noise_mvrms10_code16,16,36.60963635728234,261.97495779338425,16.665611517757746,3.400327718091108,87.67033786086361,-0.00234387,178,
quiet_code16,16,36.600048061236265,0.0,0.37098004044836536,0.009474934237345644,1.2082526588518272,-0.00195775,178,
ripple_mvpp100_code16,16,36.53480929667481,-1782.4775653928025,119.40432730459547,3.7995365824232374,383.454113616278,-0.00237225,179,
ripple_mvpp10_code16,16,36.59948601452676,-15.35644730738828,11.894580116764887,0.4555259231832483,39.05726417868346,-0.00200657,178,
ripple_mvpp30_code16,16,36.594511560021196,-151.27032636131534,35.71491504812576,1.165750407491772,116.58772233988807,-0.00209357,178,
slow_enable_code16,16,36.60005656308309,0.23229059189600013,,,,-0.00195775,57,first edge 30.8 ns after enable starts rising; shortest early period 27.322 ns
step_code16,16,36.60005226402804,0.11483022551639901,,,,-0.00208263,175,"before 36.600 MHz, after -50 mV 35.345 MHz (-34297 ppm); settled within 5.6 ns"
xcode_bit0_code16,16,36.60018404705144,3.7154545522674636,0.3243474188656943,0.013431892199988454,1.4577095411741299,-0.00196876,178,gate moves -0.060..0.060 V
xcode_bit7_code16,16,36.60020660537627,4.331801415828986,2.179343146124599,0.08449672853746061,8.780913764829597,-0.00198409,179,gate moves -0.045..0.045 V
xenable_running_code16,16,36.600310766518206,7.177730518373785,6.68886083383557,0.5895900342489172,39.56439207222736,-0.0020888,178,enable dips to 1.140 V
xout_ff10_code16,16,36.59651355128708,-96.57118327450951,12.680715158434035,,107.21427326481724,-0.100606,40,"39 periods; shortest 27.271 ns; 0 extra edge(s) at the 0.6 V threshold, clean"
xout_ff20_code16,16,36.59323137410069,-186.24803782127876,38.18282272943838,,290.5416716805191,-0.110505,40,"39 periods; shortest 27.181 ns; 0 extra edge(s) at the 0.6 V threshold, clean"
xout_ff30_code16,16,36.59001877908269,-274.02374272265905,44.21587094123564,,277.29466684641187,-0.172692,40,"39 periods; shortest 27.192 ns; 0 extra edge(s) at the 0.6 V threshold, clean"
xout_ff5_code16,16,36.59832020593244,-47.20909931410579,8.409432927447156,,55.612754843078406,-0.0270053,40,"39 periods; shortest 27.295 ns; 0 extra edge(s) at the 0.6 V threshold, clean"
bounce_mvpp30_code255,255,331.9248937508148,-138.33473666516966,60.60578656644923,3.412326540085541,141.90520742288567,-0.0258373,180,
noise_mvrms10_code255,255,332.10307230391237,398.3948312836237,9.16800515835557,2.336026148123553,46.78296866209111,-0.0118567,180,
quiet_code255,255,331.9708168463438,0.0,0.015129835042745317,0.00932749377490444,0.05751601818394862,-0.0109781,180,
ripple_mvpp100_code255,255,331.4162553122712,-1670.5129063476165,201.1676321357213,12.641832927662962,474.8730009803862,-0.0130656,180,
ripple_mvpp10_code255,255,331.96573834017613,-15.298050039142035,20.03461527735704,1.0462596944328877,47.36167585951288,-0.0111267,180,
ripple_mvpp30_code255,255,331.9249325901171,-138.21774053077937,60.31773721872921,3.193699766069342,141.83897807624675,-0.0118221,179,
slow_enable_code255,255,331.9696807817841,-3.4221820171751416,,,,-0.0109227,57,first edge 6.0 ns after enable starts rising; shortest early period 3.012 ns
step_code255,255,331.9704386114859,-1.1393617711652568,,,,-0.0118045,172,"before 331.970 MHz, after -50 mV 305.706 MHz (-79118 ppm); settled within 3.9 ns"
xcode_bit0_code255,255,331.9721831140868,4.115626054212602,0.08026535122103348,0.018196125618326633,0.5793607925548887,-0.0109782,180,gate moves 1.140..1.260 V
xcode_bit7_code255,255,331.97122386108816,1.2260557969147308,2.8290001134192715,0.16167790526928838,12.234311783128883,-0.0115008,180,gate moves 1.187..1.213 V
xenable_running_code255,255,331.9800756729949,27.89048368484116,1.1190242308039853,0.09893916066399555,12.539750510575127,-0.0110149,180,enable dips to 1.139 V
xenable_stopped_code255,255,,,,,,1.19999,0,enable peak 0.060 V
xout_ff10_code255,255,331.9407003748302,-90.72023800064656,4.860714229263328,,36.782322262729764,-0.0923956,40,"39 periods; shortest 2.994 ns; 0 extra edge(s) at the 0.6 V threshold, clean"
xout_ff20_code255,255,331.9255396170178,-136.38918551960307,13.654689651882396,,87.8363286260538,-0.144182,40,"39 periods; shortest 2.968 ns; 0 extra edge(s) at the 0.6 V threshold, clean"
xout_ff30_code255,255,331.9220382784838,-146.9363130269531,25.37846081435841,,169.33889846144098,-0.151394,40,"39 periods; shortest 2.928 ns; 0 extra edge(s) at the 0.6 V threshold, clean"
xout_ff5_code255,255,331.95215257781973,-56.222618305300216,2.7415301934418217,,21.10673304569665,-0.0508043,40,"39 periods; shortest 3.002 ns; 0 extra edge(s) at the 0.6 V threshold, clean"
