code,run,periods,mean_period_s,sigma_period_s,ppm,sigma_50mean_s,ppm50
16,quiet,604,55.333205938431995,0.7391369102634944,13.357926722805747,0.01485327916185923,0.2684333739560678
16,noise,604,55.33084671859959,14.134395165485131,255.45235621225044,2.5761373069632953,46.55879061574745
128,quiet,602,9.486226140178902,0.03792456056725134,3.997855417616696,0.0010669866419071785,0.1124774621793969
128,noise,602,9.485874127966627,1.272501194367612,134.14696180881992,0.13246716368035327,13.96467651724456
