code,vbn noise uVrms 1k-1G,1-1G,1k-1M,vbn LSB step mV,noise/LSB % (1k-1G),noise/LSB % (1k-1M),vbp noise uVrms 1k-1G,1-1G,1k-1M,vbp LSB step mV,noise/LSB % (1k-1G),noise/LSB % (1k-1M)
1,679.1279999999999,686.335,124.366,11.167109000000009,6.0815023834727455,1.1136812580588216,189.01899999999998,189.414,15.9102,12.239344000000042,1.544355645204509,0.12999226102313935
16,585.347,594.134,109.271,3.1194959999999994,18.76415292726774,3.5028414846500855,147.387,147.92399999999998,13.7976,3.717862000000016,3.96429453271798,0.3711165180418192
128,499.059,511.46099999999996,114.15499999999999,0.746530000000023,66.85049495666412,15.291414946485267,86.1989,87.2662,13.9756,0.9907860000000213,8.700052281723616,1.410556871009451
255,473.46999999999997,488.07,120.009,0.4292980000000224,110.2893561115997,27.954707452630515,66.1866,67.591,13.9505,0.5904230000000066,11.210030774546258,2.3627975197442925
