PVT,code,tPLH ps,tPHL ps,mean ps,rise 20-80 ps,fall 20-80 ps,slope up V/ns,slope down V/ns,11-stage ring MHz
ss_27C_1.32V,16,1043.35,1254.24,1148.795,1877.65,1560.57,0.593338,0.674467,39.567151192811124
ss_27C_1.32V,128,175.08,212.45,193.76500000000001,262.76,244.10000000000002,3.7925600000000004,3.64691,234.58594407940262
ss_27C_1.32V,255,115.1,135.69,125.39500000000001,151.221,138.73,6.74898,6.305230000000001,362.490892416328
ss_125C_1.08V,0,17341.1,20090.0,18715.55,29549.7,21057.4,0.0233216,0.0458171,2.4287047644629975
ss_125C_1.08V,16,1765.01,2252.8399999999997,2008.9250000000002,3198.05,2648.8700000000003,0.280192,0.321357,22.62630285080103
ss_125C_1.08V,128,308.78999999999996,390.25,349.52,457.14,431.48,1.80874,1.7052200000000002,130.04848207411723
ss_125C_1.08V,255,203.295,250.18,226.7375,261.17400000000004,251.53,3.1733000000000002,2.89428,200.47211182334397
ss_125C_1.20V,0,16400.9,17820.0,17110.45,26730.2,18346.800000000003,0.0265038,0.057695100000000006,2.6565371135502254
ss_125C_1.20V,16,1608.27,1991.84,1800.055,2899.62,2300.04,0.321699,0.43075600000000003,25.251753671163076
ss_125C_1.20V,128,254.57,326.18,290.375,410.18,375.29,2.25522,2.1891800000000003,156.53739286972174
ss_125C_1.20V,255,163.864,204.61,184.237,232.123,217.29999999999998,4.04906,3.7400700000000002,246.7177898823008
ss_125C_1.32V,0,15911.599999999999,16041.6,15976.6,24552.1,16387.6,0.030035500000000003,0.0689439,2.8450700057925626
ss_125C_1.32V,16,1503.1200000000001,1803.5800000000002,1653.3500000000001,2660.6600000000003,2040.99,0.350667,0.5506770000000001,27.492391480657727
ss_125C_1.32V,128,220.23,284.13,252.18,375.38,333.92,2.7124200000000003,2.7323500000000003,180.24643292309244
ss_125C_1.32V,255,137.982,174.58999999999997,156.286,210.365,192.44,4.96773,4.67339,290.842080893653
ff_-40C_1.08V,0,6943.599999999999,7679.599999999999,7311.599999999999,11489.5,8446.4,0.0661157,0.119232,6.216771357096321
ff_-40C_1.08V,16,751.42,885.3000000000001,818.36,1322.36,1080.13,0.65025,0.759681,55.54345942439201
ff_-40C_1.08V,128,142.91,172.04999999999998,157.48000000000002,200.63,182.57,4.03361,3.91163,288.6369409102454
