sample,unit_A,ifs_A,dnl_min,dnl_max,worst_code,inl_max,monotonic
0,2.5755449907843136e-06,0.000661900639,-0.0402353642258646,0.07483546585493217,32,0.0775439459544337,True
1,2.5745661810980393e-06,0.000661744124,-0.13160903906286958,0.05717849476265413,192,0.11531673709951082,True
2,2.5762315870588234e-06,0.000662170953,-0.07722115824453168,0.03575897966779329,48,0.07521189697354609,True
3,2.5754154567058826e-06,0.00066192853,-0.0258200891560032,0.07852773530869661,80,0.054554070165078426,True
4,2.574723125254902e-06,0.000661702926,-0.29728715982970955,0.05159812076179726,128,0.18458774868439465,True
5,2.5732502177254902e-06,0.000661409079,-0.07418952747403418,0.14213844411829535,192,0.15390882642112477,True
6,2.575727700117647e-06,0.000661880789,-0.23840707233518565,0.12776090417761532,128,0.21516533886190048,True
7,2.57610378172549e-06,0.000662035704,-0.0670981436973368,0.12390192527911537,200,0.12533123126246376,True
8,2.5753881136862745e-06,0.000661849836,-0.015514598935213564,0.20723008057603187,192,0.1609451993088565,True
9,2.57350479745098e-06,0.000661385987,-0.1208965290288807,0.1970838379828883,128,0.19457703572107238,True
10,2.5748194378039215e-06,0.00066167075,-0.29025430942115205,0.03922316288021932,64,0.2011446751139372,True
11,2.5777832105490196e-06,0.000662458822,-0.171206100165039,0.029119512123368718,96,0.11456583814723402,True
12,2.5742855828235295e-06,0.000661610371,-0.09180938758328605,0.0654097658395163,128,0.09241199918291385,True
13,2.577878321960784e-06,0.000662639941,-0.22432995267244193,0.019509329672705578,64,0.12621004477198905,True
14,2.5754783025490197e-06,0.00066198364,-0.04311560397891323,0.0740043887236177,248,0.09054410415939668,True
15,2.5745366485490197e-06,0.000661818334,-0.0860914715173956,0.05649573935292529,152,0.12198675423352075,True
16,2.577148545254902e-06,0.000662348029,-0.15035980210313316,0.07191570508668055,128,0.13621268822104607,True
17,2.575715403882353e-06,0.000661946573,-0.12274325937012265,0.13685463680743237,128,0.16461076221515986,True
18,2.5741638276470587e-06,0.000661600588,-0.16050991906942524,0.1017865178349846,128,0.13527756484557793,True
19,2.5756688087450986e-06,0.000661898331,-0.09281077129694115,0.059525584475158766,96,0.09426478383625751,True
20,2.5732294449411767e-06,0.000661278252,-0.07355832388494754,0.060830780312492116,206,0.12433606655574968,True
21,2.5740083799999997e-06,0.000661397986,-0.3932805300346439,0.030840466805353017,128,0.20259832254312263,True
22,2.5753404171764705e-06,0.000661901872,-0.11618752036849711,0.043939660197503505,160,0.0817277782713447,True
23,2.5750570610588236e-06,0.00066182019,-0.2262435539270199,0.07074015628463881,128,0.1710912737170041,True
24,2.577466782e-06,0.000662555032,-0.1705452753338348,0.042987369914438744,128,0.188318202736784,True
25,2.574510904980392e-06,0.000661652682,-0.09697527576885123,0.032328119045316406,64,0.07379476425080213,True
26,2.571968484392157e-06,0.00066102751,-0.04061732677757568,0.1310010280656544,64,0.11900119786349066,True
27,2.576595338e-06,0.00066232945,-0.04753145990518304,0.0977109825074356,224,0.09983176256140683,True
28,2.575324518901961e-06,0.000661884838,-0.016033947799155124,0.2340759297220838,128,0.14906960085997603,True
29,2.574202374313725e-06,0.000661634041,-0.06471766787883937,0.10857096103828634,40,0.11177649652416964,True
30,2.576971569647059e-06,0.000662319293,-0.15369613476229282,0.04598980902580285,128,0.14344479639264734,True
31,2.574606399764706e-06,0.00066166893,-0.03810695093966543,0.13780420971055607,132,0.13490770492232082,True
32,2.5750644635294118e-06,0.000661746135,-0.05496657094770763,0.16407610079458634,128,0.11595557479394604,True
33,2.5761440345490197e-06,0.000662061871,-0.04652225688538658,0.09612520190251317,16,0.08490399615949547,True
34,2.5764733265490195e-06,0.00066217462,-0.08785354935237,0.09155797229498841,128,0.1170979738112542,True
