sample,unit_A,i0_A,ifs_A
0,2.5476943706666665e-06,5.10071548e-06,0.00065476278
1,2.497293845333333e-06,4.99921944e-06,0.00064180915
2,2.611020684e-06,5.23018958e-06,0.000671040464
3,2.4924873018039218e-06,4.98863704e-06,0.000640572899
4,2.3684310862352943e-06,4.73804901e-06,0.000608687976
5,2.543802520431372e-06,5.09176029e-06,0.000653761403
6,2.4766002041568625e-06,4.95589194e-06,0.000636488944
7,2.442815446156863e-06,4.88761123e-06,0.00062780555
8,2.6033306587058827e-06,5.21653103e-06,0.000669065849
9,2.3727653810588235e-06,4.74678083e-06,0.000609801953
10,2.5838311056862744e-06,5.17780805e-06,0.00066405474
11,2.681416233372549e-06,5.38218649e-06,0.000689143326
12,2.6246125631764706e-06,5.25976839e-06,0.000674535972
13,2.7351668724705884e-06,5.50462652e-06,0.000702972179
14,2.714969332156863e-06,5.4476993e-06,0.000697764879
15,2.4575585238431374e-06,4.91824142e-06,0.000631595665
16,2.6759261600784315e-06,5.37135918e-06,0.00068773253
17,2.54996092372549e-06,5.10733545e-06,0.000655347371
18,2.659336556235294e-06,5.33452016e-06,0.000683465342
19,2.5100756669803923e-06,5.02447992e-06,0.000645093775
20,2.3796220757647058e-06,4.76045768e-06,0.000611564087
21,2.411538443882353e-06,4.82443381e-06,0.000619766737
22,2.4762257921568625e-06,4.955585e-06,0.000636393162
23,2.5592467425490196e-06,5.12695065e-06,0.00065773487
24,2.501031656352941e-06,5.00508963e-06,0.000642768162
25,2.5089822914509805e-06,5.02363568e-06,0.00064481412
26,2.787959295137255e-06,5.61441774e-06,0.000716544038
27,2.579368317019608e-06,5.16683616e-06,0.000662905757
28,2.341134825764706e-06,4.68314643e-06,0.000601672527
29,2.62418879572549e-06,5.26622209e-06,0.000674434365
30,2.5127677104313726e-06,5.02883584e-06,0.000645784602
31,2.5999704225098035e-06,5.20570526e-06,0.000668198163
32,2.633963717647059e-06,5.281005e-06,0.000676941753
33,2.5466759957254905e-06,5.10163209e-06,0.000654504011
34,2.537242205960784e-06,5.08087348e-06,0.000652077636
35,2.6163476409019608e-06,5.24815757e-06,0.000672416806
36,2.40273680654902e-06,4.80710033e-06,0.000617504986
37,2.65219673772549e-06,5.32159788e-06,0.000681631766
38,2.453649481568627e-06,4.9110412e-06,0.000630591659
39,2.483716957882353e-06,4.97049574e-06,0.00063831832
40,2.533417432e-06,5.07238984e-06,0.000651093835
41,2.5744596612941176e-06,5.15450537e-06,0.000661641719
42,2.748571152117647e-06,5.53460421e-06,0.000706420248
43,2.4745377019215685e-06,4.95202901e-06,0.000635959143
44,2.6288542838823527e-06,5.27142161e-06,0.000675629264
45,2.4935734299215687e-06,4.98998737e-06,0.000640851212
46,2.6400619445882355e-06,5.29125213e-06,0.000678507048
47,2.501211844862745e-06,5.00621356e-06,0.000642815234
48,2.3577606289411764e-06,4.71617762e-06,0.000605945138
49,2.6663985568627453e-06,5.355178e-06,0.00068528681
50,2.369539933215686e-06,4.74004303e-06,0.000608972726
51,2.601321696627451e-06,5.21176836e-06,0.000668548801
52,2.7298239261176472e-06,5.48211384e-06,0.000701587215
53,2.5380460891764707e-06,5.08040026e-06,0.000652282153
54,2.41162297627451e-06,4.82644005e-06,0.000619790299
55,2.6973001563137255e-06,5.41902014e-06,0.00069323056
56,2.6481031244705882e-06,5.31179526e-06,0.000680578092
57,2.710950108627451e-06,5.4473033e-06,0.000696739581
58,2.6761546539607844e-06,5.37496924e-06,0.000687794406
59,2.5048187550588236e-06,5.01312046e-06,0.000643741903
60,2.4337568583137256e-06,4.86935213e-06,0.000625477351
61,2.646860807647059e-06,5.30829605e-06,0.000680257802
62,2.5017367750980388e-06,5.00668935e-06,0.000642949567
63,2.527694260117647e-06,5.06081167e-06,0.000649622848
64,2.64543780372549e-06,5.30451805e-06,0.000679891158
65,2.7639959484313725e-06,5.57583015e-06,0.000710394797
66,2.449085772e-06,4.90025514e-06,0.000629417127
67,2.4914059016078437e-06,4.98630109e-06,0.000640294806
68,2.4616868265490196e-06,4.92523923e-06,0.00063265538
69,2.3647394964705883e-06,4.7303614e-06,0.000607738933
70,2.5756349705490196e-06,5.15901451e-06,0.000661945932
71,2.6290338231764706e-06,5.27387309e-06,0.000675677498
72,2.6426697471764706e-06,5.29971847e-06,0.000679180504
73,2.513570911176471e-06,5.03124265e-06,0.000645991825
74,2.7930627075294116e-06,5.66702058e-06,0.000717898011
75,2.5041890086666666e-06,5.01249779e-06,0.000643580695
76,2.7521529589019604e-06,5.52893048e-06,0.000707327935
77,2.4312468370196076e-06,4.86446556e-06,0.000624832409
78,2.5729231961960782e-06,5.15465897e-06,0.000661250074
79,2.656432596431373e-06,5.32823291e-06,0.000682718545
80,2.6206583511372545e-06,5.25015946e-06,0.000673518039
81,2.4438644605882354e-06,4.88952755e-06,0.000628074965
82,2.5240593589803918e-06,5.05371646e-06,0.000648688853
83,2.5034377296470586e-06,5.01072394e-06,0.000643387345
84,2.384336781137255e-06,4.76952781e-06,0.000612775407
85,2.696935948666667e-06,5.42035009e-06,0.000693139017
86,2.5165546744705885e-06,5.03874101e-06,0.000646760183
87,2.4775185242745097e-06,4.95886131e-06,0.000636726085
88,2.719829309372549e-06,5.47175011e-06,0.000699028224
89,2.6563689256470586e-06,5.33213196e-06,0.000682706208
90,2.635992414705882e-06,5.28529925e-06,0.000677463365
91,2.5723005866274512e-06,5.15167341e-06,0.000661088323
92,2.773071218862745e-06,5.59807119e-06,0.000712731232
93,2.599847736901961e-06,5.20700209e-06,0.000668168175
94,2.6632091543529414e-06,5.34379564e-06,0.00068446213
95,2.3038048595686274e-06,4.60817081e-06,0.00059207841
96,2.5470014767843137e-06,5.09892542e-06,0.000654584302
97,2.681571166392157e-06,5.38432857e-06,0.000689184976
98,2.4976601787058825e-06,4.99985143e-06,0.000641903197
99,2.5239027150588234e-06,5.05221466e-06,0.000648647407
