code,trip point V,gain at trip,output noise mVrms (1k-100G),slope V/ns,sigma_td per transition ps,sigma per period ps (x sqrt 22),ppm of period,ppm over N=200 periods
0,0.610246,-17.9112,48.8813,0.07192545,679.6106246120115,3187.6563842236237,14002.074991318585,990.0962177043939
16,0.620073,-18.922,20.703300000000002,0.60046,34.47906604936215,161.7211547819212,6624.905105913796,468.45153251090284
128,0.605436,-18.1176,5.88079,3.4272,1.7159167833800186,8.048363123311166,1922.0568335998887,135.90994208644247
255,0.605327,-18.0373,5.67655,5.894825000000002,0.9629717591277094,4.516737915277499,1641.2487569199343,116.0538125632077
