PVT,code,VDD,min V(out) with enable=0,as fraction of VDD,"supply current uA (enable=0, whole NAND+bias, min over b)"
sf_27C_1.20V,0,1.2,1.19999,0.9999916666666666,5.34338
sf_27C_1.20V,16,1.2,1.2,1.0,47.47
sf_27C_1.20V,255,1.2,1.2,1.0,570.308
sf_27C_1.32V,0,1.32,1.31999,0.9999924242424242,6.50432
sf_27C_1.32V,16,1.32,1.32,1.0,57.8666
sf_27C_1.32V,255,1.32,1.32,1.0,705.823
sf_125C_1.08V,0,1.08,1.07985,0.999861111111111,3.24002
sf_125C_1.08V,16,1.08,1.07997,0.9999722222222223,27.8019
sf_125C_1.08V,255,1.08,1.07999,0.9999907407407407,332.935
sf_125C_1.20V,0,1.2,1.19987,0.9998916666666667,4.01378
sf_125C_1.20V,16,1.2,1.19997,0.9999750000000001,34.7033
sf_125C_1.20V,255,1.2,1.19999,0.9999916666666666,421.55600000000004
sf_125C_1.32V,0,1.32,1.31987,0.9999015151515152,4.84184
sf_125C_1.32V,16,1.32,1.31998,0.9999848484848484,42.0915
sf_125C_1.32V,255,1.32,1.31999,0.9999924242424242,517.283
fs_-40C_1.08V,0,1.08,1.08,1.0,6.3402199999999995
fs_-40C_1.08V,16,1.08,1.08,1.0,55.1787
fs_-40C_1.08V,255,1.08,1.08,1.0,577.316
fs_-40C_1.20V,0,1.2,1.2,1.0,7.868989999999999
fs_-40C_1.20V,16,1.2,1.2,1.0,69.0666
fs_-40C_1.20V,255,1.2,1.2,1.0,749.38
fs_-40C_1.32V,0,1.32,1.32,1.0,9.436509999999998
fs_-40C_1.32V,16,1.32,1.32,1.0,83.2749
fs_-40C_1.32V,255,1.32,1.32,1.0,931.235
fs_27C_1.08V,0,1.08,1.07999,0.9999907407407407,5.04786
fs_27C_1.08V,16,1.08,1.08,1.0,43.4786
fs_27C_1.08V,255,1.08,1.08,1.0,456.932
fs_27C_1.20V,0,1.2,1.19999,0.9999916666666666,6.2455300000000005
fs_27C_1.20V,16,1.2,1.2,1.0,54.2918
fs_27C_1.20V,255,1.2,1.2,1.0,588.293
fs_27C_1.32V,0,1.32,1.31998,0.9999848484848484,7.49411
fs_27C_1.32V,16,1.32,1.32,1.0,65.5594
fs_27C_1.32V,255,1.32,1.32,1.0,728.572
fs_125C_1.08V,0,1.08,1.07931,0.999361111111111,4.24543
fs_125C_1.08V,16,1.08,1.07986,0.9998703703703703,32.2573
fs_125C_1.08V,255,1.08,1.07996,0.9999629629629629,345.252
fs_125C_1.20V,0,1.2,1.19937,0.9994750000000001,5.08941
fs_125C_1.20V,16,1.2,1.19987,0.9998916666666667,39.771699999999996
fs_125C_1.20V,255,1.2,1.19996,0.9999666666666667,437.099
fs_125C_1.32V,0,1.32,1.3194,0.9995454545454544,5.98409
fs_125C_1.32V,16,1.32,1.31987,0.9999015151515152,47.740700000000004
fs_125C_1.32V,255,1.32,1.31996,0.999969696969697,535.98
