code,sample,isp_sigma_pct,isn_sigma_pct,mirror_ratio_x48,idac_A
1,0,7.460240542801282,17.39123332722956,1.165985653236657,8.55094052e-06
1,1,5.834294492649165,18.24531589612469,1.1945019989913879,8.36849028e-06
1,2,6.138141867950361,14.019351659398735,1.1197109712199003,8.48537782e-06
1,3,7.200140148816462,20.89592183827699,1.1207335941206646,8.51704972e-06
1,4,6.299534356429144,17.3209899962781,1.1963794759012487,8.43150416e-06
1,5,7.563664802158521,19.873849873621673,1.2467906582641604,8.47006481e-06
1,6,9.396414481141097,26.217096970957062,1.256884252572963,8.34553808e-06
1,7,7.644464763174749,17.085026901416363,1.0401136491039702,8.44784839e-06
1,8,10.575085727481506,23.7532203639552,1.1571321071484006,8.47296118e-06
1,9,5.241154092182359,15.551175201316607,1.2426507995758298,8.68590225e-06
1,10,8.076146244022631,23.95491866302201,1.2234118278286776,8.58235681e-06
1,11,9.027496315942313,17.67323309308946,1.0325864840962697,8.61082132e-06
1,12,8.042349290078608,27.920997677016132,1.0981644727631614,8.50839077e-06
1,13,6.335045132049794,19.26810710929491,1.072339489632501,8.45590052e-06
1,14,8.821888439225976,12.30883851953837,1.1365225328241482,8.5141813e-06
1,15,6.8722853628885066,16.961491927302504,1.1369059215277137,8.54904316e-06
1,16,9.287629000060623,20.836735990238903,1.193593630105319,8.44727059e-06
1,17,3.786508038242071,19.943162538999967,0.9899391445416734,8.56495398e-06
1,18,7.2436221522505235,25.629507400132145,1.07858258051131,8.59601247e-06
1,19,7.492919035702003,24.029046020336246,1.0749385068311086,8.2488512e-06
1,20,8.677242746461857,13.986539393347563,1.1475389091320738,8.5545663e-06
1,21,7.7410990451858055,25.768295324862258,1.2712810887534562,8.52447535e-06
1,22,6.714325856912102,13.402846844482484,1.0608488107021279,8.30463186e-06
1,23,5.853247109046138,14.634598093465357,1.0941251114972883,8.36951969e-06
1,24,11.262382552539984,20.30646709769739,1.0826553359941862,8.56325755e-06
1,25,7.09451765683691,24.281389178674978,1.1003558795679904,8.27756709e-06
1,26,5.378779708812177,18.463724920548376,1.1536523865166244,8.52990664e-06
1,27,9.199571329119827,13.165487150954156,1.2243040468186228,8.33928331e-06
1,28,6.15792907885938,13.621001470881964,1.1990588624812086,8.49798445e-06
1,29,5.637088209812206,15.994700034863147,1.1608095666440321,8.52413529e-06
1,30,8.808812939045952,20.481195620319507,1.0180693229648323,8.4621424e-06
1,31,4.858654586489888,17.41383319264567,1.188740634762262,8.28075882e-06
1,32,7.973050276493543,14.87891926601664,1.2617571945316493,8.61588989e-06
1,33,7.92959961245457,24.421016898051775,1.169749680156706,8.61872064e-06
1,34,5.9011950635409365,14.054607092725607,1.054581798786417,8.33258438e-06
1,35,4.452761229479825,18.82088857397873,1.0738248079972157,8.5594592e-06
1,36,6.3575829965037025,21.760088280785116,0.9774665265482796,8.3420886e-06
1,37,6.625196643567211,16.15056590228975,1.2176074591404702,8.53718954e-06
1,38,5.730462243695723,16.4722795997291,1.0501319846047932,8.42310739e-06
1,39,7.688732919715273,8.248346164769163,1.1287332168530333,8.44246912e-06
1,40,8.10350822940069,21.575805368617875,1.1225597760971322,8.6328863e-06
1,41,7.142172829737805,16.39521777276463,0.9066190677317705,8.52956901e-06
1,42,7.0676636409161855,10.895110344512272,1.0451675598921744,8.53628593e-06
1,43,7.553190310994369,21.315102532638793,1.2184890621088509,8.51102317e-06
1,44,4.218498852326081,9.913829159491867,1.0015575840903748,8.24821599e-06
1,45,6.330088598404622,18.307285861407923,1.0894727230417558,8.58083599e-06
1,46,7.028781526493762,21.453165755853156,1.2514800924377565,8.6085603e-06
1,47,6.61898559174632,17.858708479415444,1.0695514613896184,8.56862355e-06
1,48,7.805758017600394,29.533825600630454,0.9920499420704694,8.54744539e-06
1,49,8.710947435029558,18.10611508274397,1.1797372574788112,8.57278445e-06
1,50,7.197194530349748,13.081656234326605,1.0171279124604333,8.4213805e-06
1,51,11.689027545207932,23.895564631205687,1.0425773526520048,8.510109e-06
1,52,7.627101632667955,29.138132918424322,1.061650998439842,8.53325022e-06
1,53,7.908688609627594,18.089644884983326,1.2247598329090943,8.42693619e-06
1,54,7.754351789282288,17.438666534418278,1.1264509310169581,8.59083761e-06
1,55,7.51717216463025,16.799520429254315,1.0333092322508843,8.34903026e-06
1,56,5.9766803064998735,20.477264713333017,1.127961446341555,8.3781621e-06
1,57,6.323299102466824,26.961233184412464,1.1179270780944481,8.64204597e-06
1,58,5.743337361184213,14.664900162547022,1.0370459735121527,8.22791891e-06
1,59,7.609361471102959,26.173865252965342,1.1478470139152352,8.28765807e-06
1,60,6.566725165247697,13.340627428024929,1.1276157296212954,8.36029155e-06
1,61,6.953608562632815,34.11049639363836,1.0944338726438863,8.55944806e-06
1,62,10.757205103419325,22.752695912275488,1.1114456615356751,8.32550663e-06
1,63,6.269198218652829,19.11599151769059,0.9619245553980063,8.45054521e-06
1,64,7.262801012236084,21.153269198044413,1.140435938472792,8.34351136e-06
1,65,6.127500571435485,22.00392104740052,1.064033170443928,8.34121366e-06
1,66,6.9541350482636135,24.405528819633084,0.9926302023454565,8.6489859e-06
1,67,9.152340054771281,20.85788328377832,1.0961189887222025,8.48053346e-06
1,68,6.336060305892344,15.120183635779537,1.0123055223441433,8.46017756e-06
1,69,7.752725719345978,24.015868982433062,1.18824719122661,8.55371426e-06
1,70,7.329697588450011,17.816046761268936,1.0349929767897974,8.44940537e-06
1,71,8.209182714910838,9.893084280026315,1.123194237040535,8.46091948e-06
1,72,7.280646546621082,23.51204933814411,0.954340780631397,8.39265321e-06
1,73,5.8830751307608145,8.730441840736827,1.226072128645474,8.35547841e-06
1,74,7.839953830333629,22.80843204197582,1.1372069318367137,8.55737526e-06
1,75,7.771511456196087,14.517527146885971,1.0904815000898584,8.31459471e-06
1,76,6.5854611975895665,24.063771255881182,1.0973633107068723,8.5121133e-06
1,77,7.759945731284808,16.51754624061975,0.9313643604212818,8.63226096e-06
1,78,5.260788526586006,21.21133574390412,1.1126758711431348,8.24544379e-06
1,79,6.096715182197639,13.353591578588688,1.1210588917887143,8.39116829e-06
1,80,7.482419954127897,19.643601289052032,1.0284533940326415,8.40462954e-06
1,81,4.506702580354423,27.57769954452152,1.1125188237552315,8.46093795e-06
1,82,7.895575000803489,20.167037099457396,1.081842427255098,8.33360186e-06
1,83,9.04330565563987,12.885697102937032,1.17337290481263,8.59676395e-06
1,84,6.597954851258099,27.215876635039727,0.8887220372149089,8.52864483e-06
1,85,6.095802212286037,13.266560896125757,1.095929926101583,8.29779209e-06
